date,year,type,country,state,location,activity,sex,age,injury,time,species
04 Mar 2024,2024,Unprovoked,usa,hawaii,"old man's, waikiki",Surfing,M,,No injury,,Tiger shark
02 Mar-2024,2024,Unprovoked,usa,hawaii,"rainbows, oahu",Swimming,F,11,Injured,13h30,3' to 4' shark
25 Feb-2024,2024,Unprovoked,australia,western australia,"sandlnd island, jurian bay",Unknown,F,46,Injured,11h30,Tiger shark
14 Feb-2024,2024,Unprovoked,india,maharashtra,"vaitarna river, palghar district",Fishing,M,32,Injured,,Bull shark
04-Feb-2024,2024,Provoked,trinidad,,,Fishing,M,,Injured,06h30,Black shark
29 Jan-2024,2024,Unprovoked,australia,new  south wales,"elizabeth bay, sydney harbor",Swimming,F,29,Injured,20h00,Bull shark
15 Jan-2024,2024,Unprovoked,bahamas,paradise island,paradise island resort,Swimming,M,10,Injured,16h00,
09-Jan-2024,2024,Unprovoked,australia,south australia,"walkers beach, elliston",Surfing,M,64,Injured,13h00,White shark
05-Jan-2024,2024,Provoked,south africa,eastern cape province,papiesfontein,Fishing,M,62,Injured,,Raggedtooth shark
30 Dec-2023,2023,Unprovoked,usa,hawaii,"baby beach, maui",Surfing,M,39,Fatal,11h12,
29 Dec-2023,2023,Unprovoked,mexico,sonora,"tojahui beach, yavaros, huatabampo",Diving,M,22,Fatal,13h00,White shark
28 Dec-2023,2023,Unprovoked,australia,south australia,ethel beach,Surfing,M,15,Fatal,13h30,White shark
25 Dec-2023,2023,Unprovoked,australia,new south wales,old bar,Surfing,M,16,Injury to right thigh,16h30,
24-Dec-2023,2023,Unprovoked,australia,western australia,wedge island,Foil Boarding,M,46,Injured,15h00,Broze whaler?
18 Dec-2023,2023,Unprovoked,new zealand,south island,riverton,Wading,F,21,Significant injury to leg,02h00,Sevengill shark
14  Dec-2023,2023,Questionable,mexico,guerrero,"playa quieta, ixtapa, zihuatanejo",Swimming,M,66,Fatal,09h15,Not confirmed
14  Dec-2023,2023,Questionable,mexico,guerrero,"playa quieta, ixtapa, zihuatanejo",Swimming,F,52,Injury to lower left leg,Early Morning,Not confirmed
08 Dec-2023,2023,Unprovoked,australia,queensland,1770,Snorkeling,M,20,Injured,16h32,
04 Dec-2023,2023,Unprovoked,bahamas,new providence   isoad,sandals resort,Paddle boarding,F,44,Fatal,11h00,
02 Dec-2023,2023,Unprovoked,mexico,jalisco,san patricio melaque,Swimming,F,26,Fatal,Morning,
30 Nov-2023,2023,Unprovoked,australia,queensland,clack island,Swimming,M,21,Injured,11h30,Bull shark
21 Nov-2023,2023,Unprovoked,bahamas,grand  bahama island,tiger beach,Diving,F,47,Fatal,10h30,
10 Nov-2023,2023,Unprovoked,australia,south australia,port noarlunga,Diving,F,32,Injured,13h20,
05 Nov-2023,2023,Unprovoked,usa,florida,palm beach county,Swimming,M,66,Injured,10h30,
03 Nov-2023,2023,Unprovoked,australia,westerm australia,peak island,Fishing,M,,Injured,14h00,Lemon shark
02 Nov-2023,2023,Unprovoked,new zealand,north island,cape pallister,Diving,M,,Injured,09h00,White shark
Reported 02 Nov-2023,2023,Questionable,egypt,southern red sea,fury shoal,Diving,M,66,No injury,,White shark
31 Oct-2023,2023,Unprovoked,australia,south australia,streaky bay,Surfing,M,55,Fatal,10h20,White shark
25 Oct 2023,2023,Unprovoked,usa,hawaii,"pua’ena point,  haleiwa, oahu",Surfing,M,30,Bite to right thigh,15h05,Tiger shark
23 Oct-2023,2023,Provoked,mexico,quintana roo,banco chinchorro biosphere reserve,Fishing,M,59,Injured,,
21 Oct-2023,2023,Watercraft,australia,western australia,"alexander bay, esperance",Fishing,M,, Dinghy damaged by shark. No injurty to the 5 men onboard,17h00,"Bronze whaler, 6'"
20 Oct 2023,2023,Unprovoked,belize,belize district,"san pedro , ambergris caye",Snorkeling,F,8,Injured,,"Nurse shark, 5' to 6'"
15 Oct 2023,2023,Unprovoked,usa,hawaii,"hanalei bay, kauai",Surfing,M,50,Injured,16h00,Tiger shark
13 Oct-2023,2023,Unprovoked,usa,california,"linda mar, pacific state beach, san mateo county",Surfing,M,52,Minor linjury to left lower leg ,15h45,
02 Oct-2023,2023,Unprovoked,usa,hawaii,"paia, maui",Surfing,F,45,Injured,13h00,10' to 12' Galapagos shark
01 Oct-2023,2023,Unprovoked,australia,south australia,beachport,Swimming,F,64,Injured,07h45,
01 Oct-2023,2023,Unprovoked,usa,california,"wildcat beach, marin county",Swimming,M,52,Body not recovered,10h40,
18 Sep-2023,2023,Unprovoked,usa,south carolina,horry county,Swimming,M,,Injured,16h00,
13 Sep-2023,2023,Unprovoked,egypt,south sinai,dahab,Swimming,F,34,Injured,,Tiger shark
12 Sep-2023,2023,Questionable,usa,florida,volusia county,Surfing,M,38,Injured,07h50,
11 Sep-2023,2023,Unprovoked,usa,florida,brevard county,Surfing,M,,Bite to lower back,,
09 Sep- 2023,2023,Unprovoked,philippines,bolinao,"pangasinan, ilocos norte, luzon island",Fishing,M,,Injured,,
Reported 06-Sep-2023,2023,Watercraft,coral sea,,,On a round-the-world expedition,M,,Catamaran severely damaged by sharks. No injurty to the 3 men onboard,01h00,Cookiecutter sharks
04 Sep 2023,2023,Unprovoked,usa,florida,volusia county,Surfing,M,30s,Injured,,
04 Sep 2023,2023,Unprovoked,usa,florida,volusia county,Wading,F,37,Injured,,
25 Aug 2023,2023,Unprovoked,australia,new south wales,"lighthouse beach, port macquarie",Surfing,M,44,Injured,10h00,White shark
23 Aug-2023,2023,Unprovoked,usa,north carolina,"oak island, brunswick county",Wading,M,9,Injured,09h00,
22 Aug-2023,2023,Watercraft,usa,california,"pebble beach, san mateo county",Fishing,M,19,No injury,13h00,
21 Aug-2023,2023,Questionable,bahamas,new providence   isoad,"saunders beach, nassau",Unknown,M,20/30,Body found with shark bites. Possible drowning. Cause of Death Unknown,Morning,
16 Aug-2023,2023,Unprovoked,spain,valencia,rabdells beach,Wading,M,35,Injured,Afternoon,Blue shark
16 Aug-2023,2023,Provoked,portugal,norte,9 nm off vila do conde,Fishing,M,,Injured,19h30,Blue shark
12 Aug-2023,2023,Unprovoked,samoa,savai'i island,lano,Towing a dead whale out to sea,M,,Fatal,Evening,
07 Aug-2023,2023,Unprovoked,usa,new york,rockaway,Wading,F,65,Injured,17h50,
31 Jul-2023,2023,Unprovoked,usa,florida,volusia county,Surfing,M,22,Injured,09h30,
30 Jul-2023,2023,Unprovoked,usa,florida,"anna maria island, manatee county",Fishing,M,22,Injured,15h30,
29 Jul-2023,2023,Unprovoked,usa,florida,tampa bay,Swimming,F,26,Injured,20h00,
24 Jul-2023,2023,Unprovoked,australia,western australia,gnarabup beach,Surfing,M,20s,Injured,08h45,Wfite shark
22 Jul-2023,2023,Unprovoked,australia,western australia,yallingup lagoon,Snorkeling,M,77,Injured,,Wobbegong shark
21 Jul-2023,2023,Unprovoked,usa,south carolina,"sea pines beach, hilton head island, beaufort county",Boogie boarding,M,60,Injured,13h20,8' shark
18 Jul-2023,2023,Unprovoked,colombia,san andrés island,nirvana,Diving,M,38,Injured,"""Midday""",White shark
15 Jul-2023,2023,Unprovoked,usa,florida,new smyrna beach,Sitting,M,49,Superficial injury to back,14h00,
14 Jul-2023,2023,Unprovoked,usa,florida,new smyrna beach,Surfing,M,21,Severe injury to foot,15h00,
04 Jul-2023,2023,Unprovoked,ecuador,galapagos islands,mosquera islet,Snorkeling,F,42,Serious injury to right leg,,
04 Jul-2023,2023,Unprovoked,usa,new york,"cherry grove, suffolk county",Standing,F,,Injured,16h25,4' shark
04 Jul-2023,2023,Unprovoked,usa,new york,"fire island pines, suffolk county",Swimming,M,49,Injury to right hand,13h55,3' shark
04 Jul-2023,2023,Unprovoked,usa,new york,"quogue village beach, suffolk county",Swimming,M,47,Injured,13h50,
03 Jul-2023,2023,Unprovoked,usa,new york,"kismet beach, suffolk county",Surfing,M,15,Injury to left heel and toes,17h20,
03 Jul-2023,2023,Unprovoked,usa,new york,"beach 3, robert moses state park, suffolk county",Swimming,F,15,Injured,13h45,Tiger shark
23-Jun-2023,2023,Unprovoked,usa,florida,brevard county,Swimming,F,!2,Injured,,
23-Jun-2023,2023,Unprovoked,usa,florida,"flamingo marina, homestead, miami-dade county",Fishing,M,,Injured,10h10,
Reported 14-June 2023,2023,Unprovoked,usa,hawaii,laysan,Filming,M,,Sharks bit their inflatable boats,,Tiger shark
08-Jun 2023,2023,Unprovoked,egypt,red sea protectorate,"dream beach, hurguda",Swimming,M,24,Fatal,15h00,Tiger shark
07-Jun-2023,2023,Unprovoked,bahamas,freeport,shark junction,Diving,F,73,Injured,13h00,Caribbean rreef shark
28-May 2023,2023,Unprovoked,french polynesia,tahiti,"matavai bay, arue, papetee",Surfing,F,25,Injured,14h35,Grey shark
28-May 2023,2023,Unprovoked,new caledonia,poum,twagne,Fishing,M,42,Fatal,11h00,
24-May 2023,2023,Unprovoked,turks and caicos,providenciales island,grace bay beach,Snorkeling,F,22,Left foot severed,15h00,Caribbean reef shark
24 May 2023,2023,Questionable,bahamas,lucayan lucayan archipelago,athol island,Jumped overboard,M,18,"Presumed fatal, body not recovered",Night,Shark involvement not confirmes
2023-05-20 00:00:00,2023,Provoked,usa,utah,sea quest aquarium layton davis county,Shark Feeding,F,26,Injured,1500h ,"18"" - 23"" Horn shark"
21-May 2023,2023,Unprovoked,usa,new jersey,"stone harbor, cape may county",Surfing,F,15,Injured,15h00,
19 -May 2023,2023,Provoked,usa,florida,"flagship drive, summerland key, monroe county",Fishing,M,35,PROVOKED INCIDENT   Hooked shark bit his foot,20h00,
18-May-2023,2023,Unprovoked,usa,florida,"marathon, monroe county",Fishing,M,20, ,15h00,
14-May-2023,2023,Unprovoked,usa,south carolina,"isle of palms, charleston county",Swimming,F,24,Minor inuries to right knee,17h00,
13-May-2023,2023,Unprovoked,australia,south australia,elliston,Surfing,M,46,Fatal,10h10,White shark
11-May-2023,2023,Unprovoked,usa,florida,"fort pierce, st. lucie county",Sitting,F,13,Multiple bites,Afternoon,Bull shark
11-May-2023,2023,Provoked,usa,hawaii,"kualoa, oahu",Fishing,M,,"Shark bit kayak, no inury to occupant",,Tiger shark
09 May-2023,2023,Provoked,cuba,mayabeque,puerto escondido,Fishing,M,,Fatal,,Bull shark
05-May-2023,2023,Unprovoked,usa,florida,"davis reef, islamorada, monroe county",Fishing,M,22,Injury to lower leg,11h30,
03-May-2023,2023,Unprovoked,south africa,easten cape province,"supertubes, jeffreys bay",Surfing,M,50s,Injured,19h15,
01-May-2023,2023,Unprovoked,south africa,easten cape province,mngcibe beach,Diving,M,39,Injured,,
29-Apr-2023,2023,Unprovoked,australia,western australia,"yallingup, busselton",Swimming,M,,Injured,11h20,1m shark
29-Apr-2023,2023,Unprovoked,australia,western australia,"kurrajong campground, exnouth",Snorkeling,M,11,Injured,15h00,
23-Apr-2023,2023,Unprovoked,usa,florida,"anna maria island, manatee county",Fishing,M,,Injured,,Bull shark
22-Apr-2023,2023,Unprovoked,australia,western australia,lucy's beach,Surfing,M,30,Bite to right arm,07h15,"Bronze whaler shark, 1.5 m"
11-Apr-2023,2023,Unprovoked,usa,florida,"virginia key, monroe county",Surfing,F,50s,Injured,15h00,
09-Apr-2023,2023,Watercraft,usa,florida,palm beach county,Fishing,M,,No injury,07h00,
09-Apr-2023,2023,Unprovoked,usa,hawaii,"kewalos, oahu",Surfing,M,58,Injured,07h00,Tiger shark
25-Mar-2023,2023,Unprovoked,usa,florida,"blue fish channel, key west, monroe county",Surfing,M,67,Lacertions to right calf,14h00,
25-Mar-2023,2023,Provoked,cuba,artemisa,playa majana,Fishing,M,17,Injured,,
22-Mar-2023,2023,Unprovoked,australia,western australia,delta island,Wading,M,30s,Injured,18h00,
19-Mar-2023,2023,Unprovoked,usa,hawaii,anaehoomalu bay,Swimming,M,60,Left hand and  left leg.,12h30,Black shark
17-Mar-2023,2023,Questionable,mexico,quintana roo,cancún,Swimming,M,10,Significant  injury to leg ,,Authorities report injury caused bya barracuda
16-Mar-2023,2023,Unprovoked,australia,western australia,cheynes beach,Surfing,F,,,08h00,5m to 6m shark
06-Mar-2023,2023,Unprovoked,brazil,pernambuco,piedade beach,Swimming,F,15,Injured,14h20,
05-Mar-2023,2023,Unprovoked,brazil,pernambuco,piedade beach,Swimming,M,14,Injured,,
02-Mar-2023,2023,Unprovoked,seychelles,praslin island,,Snorkeling,M,6,Injured,Afternoon,Lemon shark
21-Feb-2023,2023,Unprovoked,brazil,pernambuco,praia de milagres,Surfing,M,32,Injured,16h30,
19-Feb-2023,2023,Unprovoked,new caledonia,south province,"château-royal beach , noumea",Swimming,M,59,Fatal,16h00,Bull shark
19-Feb-2023,2023,Unprovoked,usa,florida,"jupiter island, martin county",Surfing,M,60,Injury to lower leg,17h30,
17-Feb-2023,2023,Questionable,fiji,taveuni island,ura estate,Fishing,M,41,Questionable,07h20,
04-Feb-2023,2023,Unprovoked,australia,western australia,freemantle,Swimming,F,16,Fatal,15h30,Bull shark
30-Jan-2023,2023,Unprovoked,australia,queensland,lady musgrave island,Fishing,M,8,Injured,,A small shark
29 Jan--2023,2023,Unprovoked,new caledonia,south province,"chateau royal beach, noumea",Swimming,M,49,"Hands, back and thigh inujured",10h30,Bull shark
08-Jan--2023,2023,Unprovoked,usa,florida,"outer mole, fort zachrry tatlor historic park, key west, monroe county",Swimming,M,34,Injured,14h00,
05-Jan-2023,2023,Unprovoked,mexico,gulf of california,tobari bay,Diving,M,53,Fatal,11h30,
01-Jan-2023,2023,Provoked,usa,florida,70 miles off pensacola,Spearfishing,M,30,Injured,14h50,Mako shark
Jan-2023,2023,Provoked,maldives,vaavu atoll,,Snorkeling at Shark Feeding site,F,30,Injured,,Nurse shark
30-Dec-2022,2022,Provoked,south africa,knz,protea banks,Diving,M,26,Injured,09h00,Black shark
13-Dec-2022,2022,Unprovoked,usa,hawaii,anaeho'imalu bay,Swimming,M,68,Injured,08h00,Tiger shark
11 Dec-2022,2022,Unprovoked,australia,new south ales,killick creek near crescent head,Swimming,M,15,Injured,-16h30,
09-Dec-2022,2022,Unprovoked,usa,samoa,pago pago harbor,Diving,M,43,Injured,12h00,
08-Dec-2022,2022,Unprovoked,usa,hawaii,"keawakapu point, kehei, maui",Snorkeling,F,60,Fatal,12h00,Tiger shark
07-Dec-2022,2022,Unprovoked,usa,texas,,Surfing,M,,Injured,,Black shark
27-Nov-2022,2022,Unprovoked,usa,florida,hobe sound,Swimming,F,10,Injured,Afternoon,
04-Nov-2022,2022,Unprovoked,usa,california,"del mar beach, san diego county",Swimming,F,50,Injured,10h00,White shark
03-Nov-2022,2022,Provoked,usa,florida,"cape san blas, gulf county",Fishing,M,29,Injured,15h30,
31-Oct-2022,2022,Unprovoked,usa,california,"otter point, pacific grove",Surfing,M,,Minor inury from shark's fin,17h17,
28-Oct-2022,2022,Sea Disaster,usa,louisiana,25 mikes from empire,Fishing,M,40,Injured,Morning,
27-Oct-2022,2022,Provoked,usa,mississippi,horn island,Fishing,M,,Injured,,5'shark
25 Oct-2022,2022,Unprovoked,usa,hawaii,kauai,Snorkeling,M,51,No injury,Afternoon,Tiger shark
23-Oct-2022,2022,Unprovoked,australia,south australia,seacliff,Surfing,M,19,No injury,11h15,3m shark
10-Oct-2022,2022,Provoked,usa,florida,"key largo, monroe county",Fishing,M,15,Injured,,Juvenile nurse shark
08-Oct-2022,2022,Unprovoked,usa,louisiana,25 miles off empire,Shipwreck,M,40,Injured,,
07-Oct-2022,2022,Unprovoked,australia,western  australia,port hedland,Fishing,M,38,Injured,11h30,Bull shark
06-Oct-2022,2022,Unprovoked,australia,victoria,"nun's beach, portland",Surfing,M,17,Injured,19h00,
02-Oct-2022,2022,Unprovoked,usa,california,centerville beach,Surfing,M,31,Injured,15h30,White shark
25-Sep-2022,2022,Unprovoked,south africa,western cape province,"central beach, plettenberg bay",Swimming,F,39,Fatal,07h53,White shark
22-Sep-2022,2022,Unprovoked,usa,florida,"marathon, monroe county",Fishing,M,26,Injured,,Bu.ll
06-Sep-2022,2022,Unprovoked,bahamas,,green cay,Snorkeling,F,58,Fatal,14h00,Bull shark
03-Sep-2022,2022,Unprovoked,usa,hawaii,"lower paia beach park, maui",Swimming,F,51,Injured,16h10,
31-Aug-2022,2022,Unprovoked,australia,new south wales,avoca,Surfing,M,14,Injured,07h00,Bronze whaler
17-Aug-2022,2022,Unprovoked,australia,new south wales,coffs harbour,Kayaking,M,,No injury,,White shark
15-Aug-2022,2022,Unprovoked,usa,south carolina,horry county,Swimming,F,,Injured,11h17,
15-Aug-2022,2022,Unprovoked,usa,south carolina,horry county,Standing,F,,Injured,12h00,Black shark
15-Aug-2022,2022,Unprovoked,australia,westerm australia,goode beach,Fishing,M,17,Injured,,White shark
13-Aug-2022,2022,Unprovoked,usa,florida,"looe key, monroe county",Snorkeling,M,10,Injured,16h00,Bull shark
10-Aug-2022,2022,Unprovoked,usa,california,"lovers point, pacific grove, monterey county",Paddleboarding,M,,No injury,11h30,
28-Jul-2022,2022,Unprovoked,england,cornwall,penzance,Snorkeling,F,,Injured,12h30,Blue shark
27-Jul-2022,2022,Unprovoked,usa,florida,"florida keys, monroe county",Lobstering,M,13,Injury to upper lip,,Nurse shark
25-Jul-2022,2022,Unprovoked,usa,florida,volusia county,Wading,M,33,Minor bite to left  foot,15h00,Black shark
20-Jul-2022,2022,Unprovoked,usa,new york,"kismet beach, long island",Surfing,M,16,Injured,17h45,6' shark
19-Jul-2022,2022,Questionable,usa,florida,brevard county,Unknown,M,,Injured,10jh45,Not confirmed
19-Jul-2022,2022,Unprovoked,usa,noirth carolina,"topsail beach, pender county",Surfing,F,,Injured,Early  morning,
17-Jul-2022,2022,Provoked,usa,florida,"content keys, monroe county",Fishing,M,,Injured,17h30,Lemon shark  6'
16-Jul-2022,2022,Unprovoked,usa,florida,volusia county,Unknown,F,40,Injured,13h12,"""A small shark"""
13-Jul-2022,2022,Unprovoked,usa,new york,"seaview beach, suffolk county",Unknown,M,49,Injured,18h00,
13-Jul-2022,2022,Unprovoked,usa,new york,"smith point beach, suffolk county",Surfing,M,41,Injured,07h30,Tiger shark
10-Jul-2022,2022,Unprovoked,usa,florida,volusia county,Surfing,M,30s,Injured,,6' shark
07-Jul-2022,2022,Unprovoked,usa,new york,"ocean beach, long island",Lifeguard Training Exercise,M,17,Injured,11hoo,
04-Jul-2022,2022,Unprovoked,japan,okinawa,nago,Snorkeling,M,60,Fatal,,
03-Jul-2022,2022,Unprovoked,usa,florida,volusia county,Surfing,M,28,Injured,11h43,
03-Jul-2022,2022,Unprovoked,usa,new york,"smith point beach, suffolk county",Lifeguard Exercises,M,,Injured,10h15,5'shark
01-Jul-2022,2022,Unprovoked,indonesia,bali,balian beach,Surfing,F,,Injured,,
01-Jul-2022,2022,Unprovoked,egypt,"hurghada, red sea governorate",sahl hasheesh,Snorkeling,F,40s,Fatal,,White shark
01-Jul-2022,2022,Unprovoked,egypt,"hurghada, red sea governorate",sahl hasheesh,Swimming,F,68,Fatal,,White shark
30-Jun-2022,2022,Unprovoked,usa,new york,"jones beach, nassau county",Swimming,M,,Injury to right foot,13h00,Not confirmed
30-Jun-2022,2022,Unprovoked,usa,florida,"keaton beach,",Scalloping,F,17,Severe bites to leg,15h00,9' shark
29-Jun-2022,2022,Unprovoked,usa,florida,"sawyer key , monroe county",Swimming,F,35,Injured,20h00,
29-Jun-2022,2022,Unprovoked,usa,florida,"summerland key, monroe county",Jumped into water,M,,Injured,Afternoon,
28-Jun-2022,2022,Unprovoked,south africa,western cape province,"sanctuary beach, plettenberg bay",Swimming,M,,Fatal,14h09,While shark
24-Jun-2022,2022,Unprovoked,jamaica,,,Fishing,M,,Right arm severed,Afternoon,Tiger shark
23-Jun-2022,2022,Unprovoked,usa,florida,"redington beach, pinellas county",Unknown,F,,Injured,,
22-Jun-2022,2022,Unprovoked,usa,california,"pacific grove, monterey county",Swimming,M,62,Injured,10h40,White shark
21-Jun-2022,2022,Unprovoked,usa,south carolina,horry county,Unknown,M,teen,,,
01-Jun-2022,2022,Unprovoked,australia,western australia,oyster stacks near exmouth12h15,Swimming,F,,Injured,12h15,
27-May-2022,2022,Unprovoked,australia,western australia,yallingup,Surfing,F,,No injury,,"Bronze whaler shark, 2m"
20-May-2022,2022,Unprovoked,australia,western australia,"royal perth yacht club, swan river",Diving,M,20,No Injury,,Bull shark
19-May-2022,2022,Provoked,belize,ambergris cay,off san pedro,Fishing,M,,Injured,,5' shark
10-May-2022,2022,Unprovoked,maldives,,"maafilaafushi island, lhaviyani atoll",Fishing,M,62,Injured,,
07-May-2022,2022,Unprovoked,french polynesia,bora bora,to'opua,Unknown,M,,Injured,,
03-May-2022,2022,Provoked,usa,georgia,"île de saint simon, glynn county",Fishing,M,,Injured,19h12,Black shark
01-May-2022,2022,Unprovoked,thailand,phuket,kamala beach,Playing in the water,M,8,Injured,Afternoon,1m shark
30-Apr-2022,2022,Unprovoked,french polynesia,tahiti,"pointe des pêcheurs, punaahuia",Unknown,M,22,Injured,Morning,Tiger shark
Reported 27-Apr-2022,2022,Unprovoked,australia,,,Paddleboarding,M,32,No injury,,
17-Apr-2022,2022,Unprovoked,usa,florida,"whale harbor, islamorada, monroe county",Unknown,M,56,Injured,16h00,
12-Apr-2022,2022,Unprovoked,usa,alabama,"gulf shores, baldwin county",Swimming,M,17,Bite to right foot,Afternoon,
11-Apr-2022,2022,Unprovoked,usa,florida,palm beach county,Standing,M,Teen,Bite near big toe,16h00,4' shark
09-Apr-2022,2022,Provoked,usa,new jersey,tutle back zoo,Feeding sharks & stingrays,F,12,Finger nipped by captive shark PROVOKED INCIDENT,Afternoon,Epaulette shark
07-Apr-2022,2022,Unprovoked,usa,florida,canaveral national seashore,Kayaking,M,,No injury,10h00,
01-Apr-2022,2022,,south africa,kzn,lalucia,Unknown,M,,Possible drowing and scavenging,,
31-Mar-2022,2022,Provoked,usa,florida,palm beach county,Fishing,M,50s,Injured,Morning,
18-Mar-2022,2022,Unprovoked,colombia,isla de san andres,la piscinita,Swimming,M,56,Fatal,,Tiger shark
15-Mar-2022,2022,Unprovoked,new zealand,south island,cobden,Surfing,M,,No injury,,
15-Mar-2022,2022,Unprovoked,australia,new south wales,crowdy baay,Surfing,M,32,Injured,15h20,Bull shark
15-Mar-2022,2022,Unprovoked,australia,new south wales,crowdy baay,Swimming,M,,,16h40,
13-Mar-2022,2022,Unprovoked,usa,florida,volusia county,Surfing,M,20,Bite to right foot,15h00,
09-Mar-2022,2022,Provoked,usa,florida,volusia county,Fishing,M,21,Injured,15h30,Black shark
08-Mar-2022,2022,Unprovoked,australia,new south wales,maroubra,Surfing,M,,No injury,07h50,
26-Feb-2022,2022,Unprovoked,usa,california,"san miguel islandl, santa barbara county",Boogie boarding,M,42,Fatal,11h24,White shark
21-Feb-2022,2022,?,bahamas,grand  bahama island,tiger beach,Diving,M,51,Injured,12h50,
17-Feb-2022,2022,Unprovoked,australia,queensland,redcliffe,Fihing,M,,Injured,,Tiger shark
16-Feb-2022,2022,Unprovoked,australia,new south wales,"buchan point, sydney",Swimming,M,36,Fatal,16h30,
12-Feb-2022,2022,Unprovoked,mexico,sonora,yavaros,Diving,M,56,Fatal,10h00,3m shark
11-Feb-2022,2022,Unprovoked,usa,florida,brevard county,Surfing,M,18,Injured,17h30,
Reported 10-Feb-2022,2022,Provoked,bahamas,,,Unknown,F,37,Injured,,Nurse shark
08-Feb-2022,2022,,costa rica,guanacoste,playa del coco,Diving,F,50,Injured,,Bull shark
05-Feb-2022,2022,Unprovoked,australia,western australia,"beds, wylie bay, esperance",Floating in inflatable pool ring,F,20,Injured,11h15,White shark
24-Jan-2022,2022,Unprovoked,australia,new south wales,warriewood,Swimming,M,M,Injured,,Wobbegong shark
22-Jan-2022,2022,Unprovoked,australia,western australia,whalers beach,Snorkeling,M,,Injured,,Wobbegong shark
09-Jan-2022,2022,Provoked,south africa,kwazulu-natal,"off beachbums, tongaat",Fishing,M,,No injury,07h31,
09-Jan-2022,2022,Unprovoked,new zealand,south island,"friendly bay, oamaru",Swimming,F,13,Injured,16h30,Sevengill shark
06-Jan-2022,2022,Unprovoked,usa,florida,"anna maria island, manatee county",Surfing,F,42,Injured,14h45,Black shark
04-Jan-2022,2022,Unprovoked,australia,new south wales,"hyams beach, jervis bay",Unknown,F,42,Injured,06h30,
01-Jan-2022,2022,Unprovoked,australia,western australia,north lancelin,Surfing,M,40s,No injury,,
